Time, Accel_X, Accel_Y, Accel_Z, Gyro_X, Gyro_Y, Gyro_Z
1733732998.192048073, 0.055807149, -0.179083897, 10.336483925, 1.147699498, 0.306497378, 0.821270917
1733732998.194549084, 0.047539382, -0.131309025, 10.358598080, 1.140483796, 0.326063729, 0.827219060
1733732998.197048187, 0.062641777, -0.114108358, 10.377034367, 1.119887708, 0.340402108, 0.837057044
1733732998.199547052, 0.028342944, -0.072201091, 10.393310096, 1.103781149, 0.344849694, 0.843301171
1733732998.202049017, 0.046644745, -0.110654757, 10.345600690, 1.078898516, 0.351092330, 0.852911641
1733732998.204549074, 0.077972742, -0.075066248, 10.328768315, 1.056055518, 0.346741257, 0.858125364
1733732998.207049131, 0.100373824, -0.096243120, 10.257504133, 1.039528499, 0.344023794, 0.859580595
1733732998.209547997, 0.097391389, -0.137252383, 10.269813945, 1.025407833, 0.335683546, 0.860587430
1733732998.212048054, 0.065940879, -0.125221081, 10.289802145, 1.019657429, 0.321950476, 0.854457552
1733732998.214548111, -0.041948791, -0.060103762, 10.311556425, 1.008957887, 0.302554301, 0.848921693
1733732998.217047215, 0.063116311, 0.067798049, 10.365944463, 1.000716948, 0.283124810, 0.841472298
1733732998.219547987, -0.224042992, -0.041057147, 10.291881525, 0.987236612, 0.263050834, 0.837799107
1733732998.222047091, -0.234062249, 0.143782502, 10.325290960, 0.977507206, 0.238019223, 0.837906672
1733732998.224548101, -0.208831736, 0.236086826, 10.309272417, 0.948452119, 0.205773110, 0.841100734
1733732998.227047205, -0.309580959, 0.241697243, 10.308609530, 0.909593855, 0.179945694, 0.848179763
1733732998.229548216, -0.276211740, 0.236024352, 10.331607098, 0.865475689, 0.149575164, 0.850977866
1733732998.232048035, -0.302287884, 0.226547151, 10.351906729, 0.825910676, 0.121985694, 0.849841469
1733732998.234548092, -0.289512891, 0.182786080, 10.349728589, 0.789189147, 0.097179840, 0.848707761
1733732998.237049103, -0.312563954, 0.151692265, 10.319056559, 0.747918911, 0.072719371, 0.835531505
1733732998.239547014, -0.329542225, 0.202670658, 10.406093506, 0.707038590, 0.055338064, 0.818721046
1733732998.242049217, -0.311660153, 0.228634201, 10.465531575, 0.661997372, 0.041836077, 0.796890742
1733732998.244549036, -0.331697546, 0.243263185, 10.509527201, 0.607479375, 0.029145875, 0.777126864
1733732998.247049093, -0.254593442, 0.287862218, 10.525175394, 0.555105702, 0.022794715, 0.757559315
